25268000;41.42336;-8.339681;-0.1455549;0.7229741
25268002;41.425;-8.339273;-0.1455478;0.7230027
25268003;41.42386;-8.339261;-0.1455476;0.7229828
25268004;41.42448;-8.339303;-0.1455483;0.7229936
25268006;41.4239;-8.339441;-0.1455507;0.7229834
25268007;41.42331;-8.339506;-0.1455518;0.7229732
25268009;41.42054;-8.341061;-0.145579;0.7229248
25268010;41.4206;-8.341228;-0.1455819;0.7229258
25268011;41.41991;-8.341494;-0.1455865;0.7229137
25268012;41.41998;-8.341652;-0.1455893;0.7229151
25268013;41.41942;-8.341992;-0.1455952;0.7229052
25268014;41.41951;-8.342134;-0.1455977;0.7229068
25268015;41.41903;-8.342505;-0.1456042;0.7228984
25276519;38.67945;-9.17489;-0.160132;0.6750838
25276521;38.67313;-9.173527;-0.1601083;0.6749735
25276523;38.66703;-9.172166;-0.1600845;0.674867
25276524;38.65897;-9.170397;-0.1600536;0.6747262
25276525;38.65601;-9.169735;-0.1600421;0.6746746
25276526;38.65327;-9.169129;-0.1600315;0.6746268
25276527;38.65127;-9.168678;-0.1600236;0.6745919
25276528;38.64972;-9.168194;-0.1600152;0.6745649
25276529;38.64878;-9.16775;-0.1600074;0.6745486
25276530;38.64782;-9.167151;-0.159997;0.6745318
25276531;38.64691;-9.166553;-0.1599865;0.6745158
25276532;38.64602;-9.165825;-0.1599738;0.6745003
25276533;38.64514;-9.16494;-0.1599584;0.6744849
25276534;38.64449;-9.164181;-0.1599451;0.6744736
25276535;38.64373;-9.16311;-0.1599264;0.6744604
25276536;38.64142;-9.159842;-0.1598694;0.6744201
25276537;38.63791;-9.1548;-0.1597814;0.6743588
25276538;38.63499;-9.150588;-0.1597079;0.6743077
25276539;38.63248;-9.146989;-0.1596451;0.674264
25276540;38.62967;-9.143;-0.1595754;0.6742149
25276541;38.62242;-9.132634;-0.1593945;0.6740884
25276542;38.61765;-9.125683;-0.1592732;0.6740052
25276543;38.61678;-9.124311;-0.1592493;0.67399
25276544;38.61584;-9.122586;-0.1592192;0.6739735
25276545;38.615;-9.120856;-0.159189;0.6739589
25276546;38.61258;-9.114907;-0.1590851;0.6739166
25276549;38.61014;-9.108858;-0.1589796;0.6738741
25276552;38.60758;-9.102736;-0.1588727;0.6738294
25276555;38.60435;-9.097633;-0.1587837;0.673773
25276559;38.65285;-9.168849;-0.1600266;0.6746196
25276560;38.65124;-9.168473;-0.16002;0.6745914
25276561;38.64978;-9.167974;-0.1600113;0.6745659
25276562;38.64886;-9.167539;-0.1600037;0.6745498
25276563;38.6479;-9.166945;-0.1599934;0.6745332
25276564;38.647;-9.166352;-0.159983;0.6745175
25276565;38.64613;-9.165637;-0.1599705;0.6745022
25276566;38.64525;-9.164764;-0.1599553;0.6744869
25276567;38.64462;-9.164018;-0.1599423;0.6744759
25276568;38.64386;-9.162955;-0.1599237;0.6744627
25276569;38.64161;-9.159794;-0.1598686;0.6744232
25276570;38.63801;-9.154603;-0.159778;0.6743605
25276571;38.63512;-9.150435;-0.1597052;0.67431
25276572;38.63261;-9.146835;-0.1596424;0.6742663
25276573;38.6298;-9.142846;-0.1595728;0.6742172
25276574;38.62255;-9.132482;-0.1593919;0.6740907
25276575;38.61779;-9.125531;-0.1592706;0.6740075
25276576;38.61693;-9.12418;-0.159247;0.6739925
25276577;38.61599;-9.122459;-0.159217;0.6739761
